Tunnusluku,Yksikkö,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Päivämäärä,,12/31/11,12/31/12,12/31/12,12/31/12,12/31/12,12/31/12,12/31/12,12/31/12,12/31/13,12/31/13,12/31/13,12/31/13,12/31/13,12/31/13,12/31/13,12/31/14,12/31/14,12/31/14,12/31/14,12/31/14,12/31/14,12/31/15,12/31/15,12/31/15,12/31/15,12/31/15,12/31/15,12/31/16,12/31/16,12/31/16,12/31/16,12/31/16,12/31/16,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/18,12/31/18,12/31/18,12/31/18,12/31/18,12/31/19,12/31/19,12/31/19,12/31/19
Yhtiö,,Veritas,Alandia,Etera,Fennia,Ilmarinen,Tapiola,Varma,Veritas,Alandia,Etera,Fennia,Ilmarinen,LähiTapiola,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Etera,Ilmarinen,Varma,Veritas,Alandia,Elo,Ilmarinen,Varma,Veritas,Elo,Ilmarinen,Varma,Veritas
Vakuutusmaksutulo,teur,423582.6,36730.27638,642991,1355018.66876,4019292.51683,1561568,4230686,458154,38072,659103.084,1326312.08468,4086880.91911,1602705,4257991,452773,39048,3022886.2367,678563,4167385.9429,4343550,470229.30801,43524.21575,3157103.77404,679977,4268706.20073,4576430,489488,43443.74971,3321482.64196,713262,4301841.16701,4675093,508871,46165.69571,3510802.87586,793988,4311572.58859,4867380,520942,48245.3133,3639773.02673,5409864,5118043,540319,3968500,5758300,5285600,592700
Maksetut eläkkeet ja muut korvaukset,teur,370478.76,33576.60009,701788,1243685.27977,3847758.24255,1486560,4167513,402765,36981,750129.772,1311948.83642,4145523.68368,1598499,4445502,432034,39040,3056969.03198,763940,4350886.2029,4660730,454814.46381,41151.28647,3146787.06329,761754,4441559.68861,4834577,463764,42616.3256,3310652.39597,792587,4594091.06691,5004693,486120,43891.81028,3444157.71479,813907,4721789.9701,5247773,489888,46863.57518,3634632.74361,5711663,5404056,521196,3915300,6077800,5623000,589500
Sijoitustoiminnan nettotuotto käyvin arvoin,teur,-102403.52572,18147.3,521493,705081.515015551,2048380.01603307,828737,2492318,229524,12932,12595,704314.508624659,2915274.45504765,544300,3160178,169171,17269,1163824.34214855,346122,2188418.57686165,2698907,159402.51394,13163.14817,990059.675574612,211022,2070594.6,1679322,151356,11849.64897,1147422.8654,382058,1743257,1952659,184167,24702.01942,1607560.71249,369753,2693387.9,3342743,236743,-3422.4,-331853.47207,-641600,-902348,-46825,2915700,5375400,5240600,332600
Sijoitustoiminnan nettotuotto sitoutuneelle pääomalle,%,-4.91637434645924,7.74387049725079,9.87,10.2953576371223,7.5065486930588,8.96,7.677,11.323956853792,5.11,0.23,9.36014,9.80303196425082,5.4352756703,9.029,7.35468663715355,6.58190819004978,6.22347604986632,6.13,6.76345900080124,7.129519425533,6.46981078346734,4.67211165398682,5.00566945764297,3.67,6.02670690812443,4.1763336535161,5.78,4.58014437405157,5.5590817606312,6.6,4.84260010480887,4.70525715750798,6.6,8.20612029520242,7.41319663463176,6.01,7.24213879940436,7.76258287411932,8.02,-1.06688672426997,-1.42564,-1.39807175556607,-1.97384131510053,-1.47,13.0,11.8,12.0,9.9
Liikevaihto,teur,420995.6,44969.81214,1010963,1665238.64219,5269167.06659,1924922,5120675,569844,50439,569418.098,1723657.04049,5900684.8785,2066458,6228289,536556,51613,4067043.95984,858127,5716852.79607,5480048,536939.91732,62452.28047,4044849.20522,811853,6885241.6781,4748525,683329,50508.06301,4116298.99477,987000,5573360.51425,6793188,615028,69581.67634,5174808.73087,1334733,6805330.83624,8707699,750250,52572.19672,4062384.36145,5964542,5383157,623895,5489300,7823600,7828100,753400
Kokonaisliikekulut,teur,22292.14,2514.08738,46680,59588.71579,144045.36985,61604,148697,22070,2426,59373.78,65730.89506,143385.78413,68525,142702,22345,1946,128320.76565,44474,149796.30655,141990,23341.34673,2321.6755,126305.01308,42085,150659.24624,144640,25833,2491.2585,129880.96614,43838,147212.59919,137898,26669,2512.13525,134563.64492,49267,150329.63319,129316,27073,2588.06743,133309.31663,194635,124832,27721,138000,175200,124000,29000
Kokonaisliikekulut liikevaihdosta,%,5.29510047135885,5.59061125755461,4.61737966671382,3.57838896361625,2.73374079868036,3.20033746821949,2.90385544874455,3.87298980071739,4.80977021749043,10.4270974541452,3.81345554921494,2.42998545223872,3.3160606216047,2.29119104781426,4.16452336755157,3.77036793056013,3.1551359394465,5.18268274975616,2.62025824161462,2.59103569895738,4.34710588225633,3.71751917228268,3.12261364198694,5.18382022361191,2.18814753764133,3.04599849426927,3.78046299805804,4.93239762432933,3.15528503408089,4.44154002026342,2.64136150556932,2.02994529225453,4.33622534258603,3.61034022480982,2.60035977981696,3.69115021506174,2.20899816346119,1.48507659715845,3.60853048983672,4.92288241973998,3.28155351066824,3.26320109741871,2.31893663885337,4.44321560518998,2.5,2.2,1.6,3.8
Kokonaistulos,teur,-155144.63,12441.26876,306366,414112.181325551,931209.06110456,464130,1201352,149895,3298,-253228,330511.14011,1488961.61656943,70180,1558463,52072,8291,362537.194928549,125991,884497.340378832,1223020,61725.1891024512,2738.98411,29948.5206190498,-69314,474333.26779,-163563,29349,2412.18210000001,333828.4434,166988,405242.0367,456928,78978,12822.39413,608522.351210001,88816,1078431.49205,1523835,107874,-9005.56759,-806168.47207,-1581013,-1741010,-105769,1229900,2039700,2197500,85200
